id,price,name,image,description
laptop1,15995,ASUS ZenBook S13 UX393JA 13.9" bärbar dator (svart),img/lab/asus-zenbook-s13.png,"ASUS ZenBook S13 UX393JA 13.9" bärbar dator kombinerar ett snyggt utseende, hållbarhet, fantastisk portabilitet och utmärkt prestanda. Tack vare 3300x2200 IPS-skärmen med smala ramar får du en distraktionsfri upplevelse när du ser på film. "
laptop2,3990,Lenovo Ideapad 3 14" bärbar dator (platinagrå), img/lab/lenovo-ideapad-3-14.webp,"Lenovo Ideapad 3 14-tums bärbar dator är ett utmärkt val för dig som är på resande fot. Datorn har en vikt på endast 1,2 kg och en supertunn profil på 1,79 cm, vilket gör den enkel att ta med sig överallt. "
laptop3,16995,Huawei MateBook X 2020 bärbar dator (silver frost),img/lab/huawei-matebook-x-2020.webp,"Huawei MateBook X 2020 bärbar dator har ett supertunt och elegant aluminiumchassi med en tjocklek på endast 1,36 cm, vilket gör den enkel att ta med. Den 13 tum stora pekskärmen rymmer nästan hela framsidan, för en sömlös tittarupplevelse. "
laptop4,2690,HP 14-dq0003 14" bärbar dator (vit),img/lab/hp-14-dq0003-14.webp,"HP 14-dq0003 bärbar dator har en smidig design med en lätt vikt på 1,5 kg och en effektiv processor som ger lång batteritid. Arbeta på resande fot eller koppla av framför din favoritserie med den 14 tum stora FHD-skärmen och dubbla högtalare. "
laptop5,16890,MacBook Air 2020 13.3" 512 GB (rymdgrå),img/lab/macbook-air-2020.webp,"MacBook Air 2020 ger dit tillförlitlig prestanda, snygg och lätt design som du enkelt kan ta med dig under dagen. Med en vikt på endast 1.3 kg och kraftfulla komponenter får du högre prestanda och bättre egenskaper jämfört med tidigare modeller."
computer1,4995,Acer Aspire TC-886 stationär dator,img/lab/acer-aspire-tc-886.webp,"Med Acer Aspire TC-886 stationär dator får hela familjen enkel åtkomst till sin favoritmedia, foton, dokument och mycket mer. Datorn kommer i ett elegant chassi som är perfekt för smidig placering på skrivbordet."
computer2,6490,Lenovo IdeaCentre T540 stationär dator gaming,img/lab/lenovo-ideacentre-t540.webp, "Lenovo IdeaCentre T540 stationär dator gaming finns i ett nytt designat chassi som inte skymmer prestandan. Chassit använder smart designad interiör för att maximera värmeffektiviteten."
computer3,3990,Lenovo IdeaCentre 310s stationär dator,img/lab/lenovo-ideacentre-310s.webp,"Lenovo IdeaCentre 310s stationär dator är en perfekt familjedator med ett smalt chassi som passar på varje skrivbord. Njut av smidig prestanda för multimedia eller mer krävande appar."
computer4,10990,HP Omen Obelisk 875-0686no stationär dator gaming,img/lab/hp-omen-obelisk-875.webp,"Nå toppresultatet med HP Omen Obelisk 875-0686no stationär dator för gaming. En Ryzen 5-processor tillsammans med AMD Radeon-grafik klarar även AAA-spel och NVMe SSD ser till att laddningstiden blir obefintlig."
computer5,10490,Asus ROG Strix GL10 50T stationär dator för gaming,img/lab/asus-rog-strix-gl10.webp,"Asus ROG Strix GL10 50T stationär dator för gaming är redo för alla spelutmaningar. Nvidia GeForce GTX 1660-grafiken levererar pålitlig prestanda och AMD Ryzen 5-processor, DDR4 RAM och SSD-hårddisken ger följsamma och mjuka rörelser."
laptop6,13995,Dell G3 15 3590 15.6" bärbar dator gaming,img/lab/dell-g3-15-3590-156.webp,"Få ut det mesta av dina favoritspel, även när du är på språng. Dell G3 15 3590 15,6 bärbar dator för gaming har en elegant design och hög prestanda."
drone1,1390,Denver drönare DCH-640,img/lab/denver-droenare-dch-640.webp,"Bli pilot och upplev flygning i 2 hastigheter med Denver drönare DCH-640 som har 8-10 minuters flygtid och 40-60 meters räckvidd. Du kan ta 2 Mpx-bilder och -videor och lagra dem på MicroSD-kort."
drone2,11990,DJI Mavic Air 2 drönare Fly More Combo,img/lab/dji-mavic-air-2.webp,"Sikta mot himlen med DJI Mavic Air 2 drönare och fånga vackra bilder ovanifrån. Drönaren har en förbättrad 3-axlad gimbal, 4K-kamera och en maximal hastighet på upp till 68 km/h. Du får 34 minuters flygtid och en räckvidd på 10 kilometer."
drone3,4490,DJI Mavic Mini drönare (vit),img/lab/dji-mavic-mini.webp,"DJI Mavic Mini drönare replikerar den hopfällbara designen hos sina större syskon i en kompakt kropp på 249 gram. Den har 3-axlig kardanupphängning (gimbal) och 2,7 k-videoinspelning och upp till 30 minuters flygtid och kontrollområde på 2 km."
drone4,3790,DJI Osmo Pocket handhållen kamera,img/lab/dji-osmo-pocket.webp,"När ditt liv är ett äventyr kan DJI Osmo Pocket hjälpa dig att fånga alla ögonblick i hög detalj och perfekt skärpa."
drone5,399,Denver drönare DRO-170,img/lab/denver-droenare-dro-170.webp,"Bli pilot och upplev 7 minuters flygtid med Denver drönare DRO-170, en 2,4 GHz-drönare utrustad med ett 600 mAh litiumbatteri. Drönaren har även höjdfixeringsfunktion och unik armbandskontroll."
mobile1,8990,Samsung Galaxy S20 4G smartphone 8/128GB (cloud blue),img/lab/samsung-galaxy-s20.webp,"Samsung Galaxy S20 smartphone är en fullfjädrad multimediaenhet. Den har en 6,2-tums dynamisk AMOLED-pekskärm med imponerande Quad HD+-upplösning och smidig 120Hz uppdateringsfrekvens."
mobile2,7490,iPhone 11 64 GB (vit),img/lab/iphone-11-64-gb-vit.webp,"Öppna ögonen och upplev världens skönhet från ett nytt perspektiv med iPhone 11 och dess skärm på 6.1 tum. Telefonen kommer med ett snabbt chip, avancerad teknik, smidig drift och innovativa funktioner."
mobile3,7990,Huawei P30 Pro smartphone 128 GB (aurora),img/lab/huawei-p30-pro.webp,"Huawei P30 Pro smartphone är med sin Leica quad-kamera utformad för att hjälpa dig att fånga alla små detaljer. 8-kärnig Kirin 980-processor och 6 GB RAM innebär kraftfull prestanda och fingeravtrycksläsare på skärmen ger snabb och säker åtkomst."
mobile4,14590,Samsung Galaxy Note20 Ultra 5G smartphone 12/256GB (mystic black),img/lab/samsung-galaxy-note20.webp,"Samsung Galaxy Note20 Ultra 5G smartphone kommer med en högpresterande 108+12+12Mpx kamera med laser-autofokus, 5x optisk zoom och 50x Space Zoom"
mobile5,1990,Huawei P40 Lite E smartphone 4/64GB (aurora blue),img/lab/huawei-p40-lite.png,"Huawei P40 Lite E smartphone är en vackert designad enhet med nanostrukturerad baksida som har blank 2,5D-effekt. Dess 6,39-tums Punch FullView-pekskärm och generösa 4000mAh-batteri gör telefonen perfekt för video eller läsning."
